[2025-03-01 02:38:10,548] [INFO] [real_accelerator.py:222:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.1118, 'grad_norm': 7.367826461791992, 'learning_rate': 2.5679012345679013e-06, 'epoch': 0.0}
{'loss': 1.1648, 'grad_norm': 6.708660125732422, 'learning_rate': 2.617283950617284e-06, 'epoch': 0.0}
{'loss': 1.1737, 'grad_norm': 6.955352783203125, 'learning_rate': 2.666666666666667e-06, 'epoch': 0.0}
{'loss': 1.1609, 'grad_norm': 7.733257293701172, 'learning_rate': 2.7160493827160496e-06, 'epoch': 0.0}
{'loss': 1.6169, 'grad_norm': 8.168251037597656, 'learning_rate': 2.7654320987654323e-06, 'epoch': 0.0}
{'loss': 1.4615, 'grad_norm': 6.739083766937256, 'learning_rate': 2.814814814814815e-06, 'epoch': 0.0}
{'loss': 1.4451, 'grad_norm': 6.656956195831299, 'learning_rate': 2.864197530864198e-06, 'epoch': 0.0}
{'loss': 1.0646, 'grad_norm': 7.8041815757751465, 'learning_rate': 2.91358024691358e-06, 'epoch': 0.0}
{'loss': 1.3155, 'grad_norm': 7.617079257965088, 'learning_rate': 2.962962962962963e-06, 'epoch': 0.0}
{'loss': 1.6528, 'grad_norm': 9.58898639678955, 'learning_rate': 3.0123456790123457e-06, 'epoch': 0.01}
{'loss': 1.2527, 'grad_norm': 11.232722282409668, 'learning_rate': 3.0617283950617284e-06, 'epoch': 0.01}
{'loss': 1.4786, 'grad_norm': 7.302511692047119, 'learning_rate': 3.111111111111111e-06, 'epoch': 0.01}
{'loss': 0.9929, 'grad_norm': 6.677892208099365, 'learning_rate': 3.160493827160494e-06, 'epoch': 0.01}
{'loss': 1.3634, 'grad_norm': 7.496073246002197, 'learning_rate': 3.2098765432098767e-06, 'epoch': 0.01}
{'loss': 1.1088, 'grad_norm': 7.083587646484375, 'learning_rate': 3.2592592592592594e-06, 'epoch': 0.01}
{'loss': 1.2618, 'grad_norm': 8.408243179321289, 'learning_rate': 3.308641975308642e-06, 'epoch': 0.01}
{'loss': 1.727, 'grad_norm': 8.239368438720703, 'learning_rate': 3.358024691358025e-06, 'epoch': 0.01}
{'loss': 1.0535, 'grad_norm': 8.772061347961426, 'learning_rate': 3.4074074074074077e-06, 'epoch': 0.01}
{'loss': 1.2866, 'grad_norm': 6.677380561828613, 'learning_rate': 3.4567901234567904e-06, 'epoch': 0.01}
{'loss': 1.3759, 'grad_norm': 7.598499298095703, 'learning_rate': 3.506172839506173e-06, 'epoch': 0.01}
{'loss': 1.2863, 'grad_norm': 6.544276237487793, 'learning_rate': 3.555555555555556e-06, 'epoch': 0.01}
{'loss': 0.857, 'grad_norm': 3.835089683532715, 'learning_rate': 3.6049382716049387e-06, 'epoch': 0.01}
{'loss': 1.2092, 'grad_norm': 4.0251288414001465, 'learning_rate': 3.6543209876543214e-06, 'epoch': 0.01}
{'loss': 1.0897, 'grad_norm': 6.190663814544678, 'learning_rate': 3.7037037037037037e-06, 'epoch': 0.01}
{'loss': 1.433, 'grad_norm': 8.780762672424316, 'learning_rate': 3.753086419753087e-06, 'epoch': 0.01}
{'loss': 1.1584, 'grad_norm': 6.183642387390137, 'learning_rate': 3.8024691358024692e-06, 'epoch': 0.01}
{'loss': 1.1171, 'grad_norm': 12.018298149108887, 'learning_rate': 3.851851851851852e-06, 'epoch': 0.01}
{'loss': 1.5862, 'grad_norm': 11.276510238647461, 'learning_rate': 3.901234567901234e-06, 'epoch': 0.01}
{'loss': 0.8041, 'grad_norm': 5.353103160858154, 'learning_rate': 3.9506172839506175e-06, 'epoch': 0.01}
{'loss': 1.587, 'grad_norm': 6.782352924346924, 'learning_rate': 4e-06, 'epoch': 0.01}
{'loss': 1.1474, 'grad_norm': 6.236419200897217, 'learning_rate': 4.049382716049383e-06, 'epoch': 0.01}
